Unnamed: 0.1,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel,TaggedPitchType2,GeneralPitchType,Vert Strike,Horz Strike,Strike?,Foul?,In Play?,Swing Strike?,Swing?,Ball Called?,First Pitch,In Strike Zone?,Chase?,In-zone take,In-zone whiff,In-zone/swing,LA<10,Ground Ball?,Fly Ball?,EV>90,EV>100,EV>105,Good Swing Decision,Unnamed: 0,xBA
0,1,6/3/25,6:31:40 PM,2,1,Graham Kasey,,Left,Normal cornbelters,Luke Collier,,Right,Lafayette aviators 2025,Windup,1,Top,1,0,0,Fastball,,Foul,,,,,,,88.75662084998959,-0.16165784,1.870525509548244,2207.462966320613,139.2192220932494,10:45,5.210918903948481,-2.063583065,6.000000192000004,-21.60226331,14.518225717876955,-10.0646146,3.2604059289939085,1.163228528,79.38027914777832,-4.261397227,-0.04253024,0.4325619687277157,,,,,,,,,,,,6.088768753779687,7.912014167345422,1.916985792088477,50.000000000000014,5.185252950350507,-3.887950497,-128.9399913,-1.05732669,10.022279347504425,32.37451176263821,-19.15065859,Normal Cornbelters,Lafayette Aviators 2025,,,,532a99cb-364f-4d27-8cac-bdf57743990e,d80388a4-946a-4894-b16c-6c40aeef90ac,89.01492727175419,5.211730533955401,-2.069987437,-0.172664418,1.9463636918728755,79.58753244396475,3.260585256240901,-1.158378466,-4.257530996,0.0312737881553394,0.4323710459234361,-10.77630288,13.309561057794944,41.31521124060882,60.95774477299919,1658.0008901297233,1457.3694782058683,75.10888814108941,-0.568735188,0.6602010998331735,0.4905861738588027,,,,,,,,,,,,,,,,,0.9935189340537732,0.0,,,medium,high,35.13802970430075,47.0322921969408,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Other,Other,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,,
1,2,6/3/25,6:32:01 PM,2,2,Graham Kasey,,Left,Normal cornbelters,Luke Collier,,Right,Lafayette aviators 2025,Windup,1,Top,1,0,1,Splitter,,StrikeSwinging,,,,,,,82.15939880895911,-0.643042988,2.181690381287695,1436.117349494007,120.79143125186572,10:00,4.777703746100396,-1.880605492,6.000000192000004,-32.42104759,9.754198180673995,-11.28209169,1.4778509213281217,0.792150071,73.77402471952169,-6.776402203,0.0375326772823848,0.4674125117628113,,,,,,,,,,,,6.854528796048999,5.499354349,1.7093346429560574,49.99999999999999,4.706537823627369,-4.210750589,-119.326019,-2.303230981,9.662976834,27.72609004129608,-24.42149135,Normal Cornbelters,Lafayette Aviators 2025,,,,532a99cb-364f-4d27-8cac-bdf57743990e,657f8a29-321c-434a-a597-7f4e66f62173,82.38971870726365,4.7749093807875385,-1.887770154,-0.611385243,2.2665664088876847,73.95241482137092,1.480908222063531,-0.78668434,-6.729393233,0.1203605247793925,0.4672141132125579,-12.07855386,7.937232628,40.15301626567521,10.929585667733502,1097.6604742850848,926.0531975593703,76.43250564947411,-0.391269002,0.6448311469015053,0.6565830944919322,,,,,,,,,,,,,,,,,0.988727244166558,0.0,,,medium,high,99.83662710096016,23.569209912499087,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Splitter,Offspeed,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-2,,
2,3,6/3/25,6:32:32 PM,2,3,Graham Kasey,,Left,Normal cornbelters,Luke Collier,,Right,Lafayette aviators 2025,Windup,1,Top,1,0,2,Slider,,StrikeCalled,,,StrikeoutSwinging,1.0,0.0,,77.37892565417843,-0.352806124,0.7548379100118756,2071.527409906258,272.16907510289707,3:00,4.974914957670838,-2.202361986,6.000000192000004,-44.69371047,2.9430035183213903,10.453540054354375,0.9225105134191924,0.629651435,69.70310173147487,-8.78681389,2.7440704416911155,0.4967551982083543,,,,,,,,,,,,-5.394714345,1.7188804317974276,2.134846956898456,50.0,4.920408402,-1.77303111,-112.4323058,-1.939607802,-6.727204358,25.28721442678261,-30.0306071,Normal Cornbelters,Lafayette Aviators 2025,,,,532a99cb-364f-4d27-8cac-bdf57743990e,af6f9255-38fd-4cf3-bdb8-7fc1ead57733,77.57869716914279,4.966216681427879,-2.202482897,-0.250133291,0.7566209214705678,69.84510799833747,0.9301043972412292,-0.629850243,-8.672292289,2.740759714055239,0.4965592717158455,10.43271639972935,0.1239483799276175,66.57015069081721,65.9903061,823.6930514745474,1900.7250108696624,39.762594862880505,0.0150495298439572,0.9175476036571852,-0.397341046,,,,,,,,,,,,,,,,,0.9959873634662734,0.0,,,medium,high,30.608724513997085,48.65795633925437,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Slider,Breaking,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,
3,4,6/3/25,6:32:49 PM,3,1,Graham Kasey,,Left,Normal cornbelters,Hunter Snow,,Left,Lafayette aviators 2025,Windup,1,Top,2,0,0,Fastball,,BallCalled,,,,,,,88.70462969090241,-0.500063302,1.8238590052845536,2100.845246673377,129.24283229023737,10:15,5.100569082974392,-2.170697033,6.000000192000004,-22.69728545,13.465536848948524,-13.37895181,2.744125488630196,1.589953946,79.40038776299772,-4.804359032,-0.719383851,0.4328153761621396,,,,,,,,,,,,7.866146176258732,7.458524201885125,2.029821486785283,49.99999999999999,5.046690465808865,-3.674262763,-128.8636094,-1.853344775,12.932791041041831,32.33173102166494,-19.91143295,Normal Cornbelters,Lafayette Aviators 2025,,,,532a99cb-364f-4d27-8cac-bdf57743990e,023909ba-0a6c-4c6f-8289-88d2b865835c,88.95271932270676,5.100878509846986,-2.178331622,-0.504935844,1.9141233169797705,79.59837449050383,2.744663682201385,-1.584164345,-4.795134754,-0.630656374,0.4326321915593249,-14.22562661,12.206858569376807,32.03615259,54.47186721553212,1780.91499332309,1114.402322784343,84.77135553621163,-0.536270756,0.5304542657527795,0.6565302342424081,,,,,,,,,,,,,,,,,0.9945961863333652,0.0,,,medium,high,40.97531950602107,-69.84914991,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Other,Other,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,,
4,5,6/3/25,6:33:07 PM,3,2,Graham Kasey,,Left,Normal cornbelters,Hunter Snow,,Left,Lafayette aviators 2025,Windup,1,Top,2,1,0,Slider,,StrikeSwinging,,,,,,,79.18271192875739,-0.189777742,3.752551214871919,2208.6869357537603,152.37489957407158,11:00,4.87497092500336,-2.289431704,6.000000192000004,-35.58392326,9.97329589,-1.913036204,1.7328859917842672,-1.043741233108683,71.10361249598228,-6.912596016,3.390090835993714,0.4857917394836986,,,,,,,,,,,,2.3328020605598856,5.463557556552538,1.9844371136750745,49.99999999999998,4.838915012457049,-7.477545047,-114.8408385,-1.397855791,3.043971079360316,25.811360377752344,-25.04489299,Normal Cornbelters,Lafayette Aviators 2025,,,,532a99cb-364f-4d27-8cac-bdf57743990e,ed3d4fbd-9647-4c79-8985-a770dec9b0da,79.41617823791277,4.8713778348187065,-2.294394218,-0.148512649,3.812091964768696,71.28756811878537,1.7367497842302508,1.0474305627922438,-6.852720467,3.4459516889547843,0.4855770607149255,-2.476157876,7.911094237762725,72.40025512299002,61.30683756487775,667.8310292917138,2105.302756490027,30.236563565483426,-0.267896114,0.9531920175783304,0.1402021748947196,,,,,,,,,,,,,,,,,0.9964039173655588,0.0,,,medium,high,34.823846191609995,63.21098828910214,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Slider,Breaking,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-2,,
5,6,6/3/25,6:33:26 PM,3,3,Graham Kasey,,Left,Normal cornbelters,Hunter Snow,,Left,Lafayette aviators 2025,,1,Top,2,1,1,Fastball,,StrikeCalled,,,,,,,89.92347987291231,-0.420582081,5.313846732362039,2190.987625993119,137.08655438564858,10:30,5.150455455,-3.389978288,6.000000192000004,-19.7885384,15.598342639553056,-11.40502504,3.108829983248332,-0.6124672385244505,80.40076758573235,-4.167156443,3.1597519648123065,0.428146763562418,,,,,,,,,,,,7.963024008540791,8.578664930244058,2.962502924657295,49.99999999999998,5.104585183755938,-11.73610568,-130.1596143,-1.601844206,13.38633465161844,32.43478328909042,-17.75278456,Normal Cornbelters,Lafayette Aviators 2025,,,,532a99cb-364f-4d27-8cac-bdf57743990e,26676b6c-cf5f-4d02-9af2-89860fa95503,90.18192696393147,5.1518318327213946,-3.396558092,-0.438163172,5.391603332,80.61090395819035,3.10850717250864,0.6175994881251319,-4.170576172,3.2367505044099008,0.4279645019499647,-12.13929137,14.56555578476951,36.2382924404704,74.80070557137527,1767.174832014971,1295.1910632597117,80.65654096124598,-0.590714902,0.5911448553583841,0.5491845448322592,,,,,,,,,,,,,,,,,0.9968621044156104,0.0,,,medium,high,22.67936498576224,79.83154507832677,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Other,Other,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-2,,
6,7,6/3/25,6:33:45 PM,3,4,Graham Kasey,,Left,Normal cornbelters,Hunter Snow,,Left,Lafayette aviators 2025,,1,Top,2,1,2,Fastball,,HitByPitch,,,,,,,89.32229892140599,1.2107018588371463,-0.592234371,2146.5306350134124,136.55765070800453,10:30,5.098754666621503,-1.096858231,6.000000192000004,-21.96730633,13.76808998902272,-11.32607702,4.393591985710147,2.591136512,79.67239484676492,-2.96580888,-2.746761518,0.4302499454476901,,,,,,,,,,,,5.925064312022786,7.029971224716447,1.1516340587630536,50.00000000000002,5.184719016528155,1.706462805973514,-129.7710686,2.0346971327596424,9.851190886,33.48643882223146,-20.48580709,Normal Cornbelters,Lafayette Aviators 2025,,,,532a99cb-364f-4d27-8cac-bdf57743990e,1f7debbd-7b92-4645-9d44-6137b944ea2d,89.58066479,5.099386382649907,-1.103611226,1.2018051750905647,-0.510655129,79.88441965675094,4.393927051942383,-2.58569524,-2.959790246,-2.665013916,0.4300557732336054,-12.089661,12.462149855294657,38.09641545637253,74.32497733678072,1689.2629838494026,1324.380737721331,78.69736198006079,-0.571395278,0.6169866463205896,0.5411422312870247,,,,,,,,,,,,,,,,,0.9963948540512856,0.0,,,medium,high,23.1075204,88.99004364037378,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Other,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,
7,8,6/3/25,6:34:18 PM,4,1,Graham Kasey,,Left,Normal cornbelters,Jimmy Janicki,,Right,Lafayette aviators 2025,,1,Top,2,0,0,Fastball,,StrikeCalled,,,,,,,87.67624772272245,-0.652058697,2.342943446,2205.89474,134.8394545705411,10:30,5.049644316395291,-2.422326312,6.000000192000004,-21.77505985,15.24385543140108,-12.49896085,2.6285034543819865,1.285175086,78.49600060954792,-4.780378442,-0.031475658,0.4379084917363637,,,,,,,,,,,,7.562268079296915,8.470330262731785,2.2386081462049785,49.99999999999999,4.9838857765983615,-4.813328035,-127.3303994,-2.140922091,12.147761342894098,31.39706004806836,-18.5676091,Normal Cornbelters,Lafayette Aviators 2025,,,,532a99cb-364f-4d27-8cac-bdf57743990e,224a3950-cd5d-4cd9-873f-50ff3c3f0c5d,87.92473607675396,5.050589332,-2.429468179,-0.664663134,2.428014985581932,78.69681610446597,2.6285650545621544,-1.279603615,-4.778278737,0.0526159076087618,0.437720577697632,-13.29682687,14.049535953643437,32.27168154290853,66.18343818931095,1865.1409837563813,1177.8033438683835,84.55258310934897,-0.596199425,0.5339345174772497,0.5995499787372285,,,,,,,,,,,,,,,,,0.9955842852255834,0.0,,,medium,high,30.43490562962016,-61.58279142,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Other,Other,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,,
8,9,6/3/25,6:34:36 PM,4,2,Graham Kasey,,Left,Normal cornbelters,Jimmy Janicki,,Right,Lafayette aviators 2025,,1,Top,2,0,1,Slider,,BallCalled,,,,,,,82.05681358723002,-1.650572256,2.913088162330314,2143.6356514433337,161.25673797901123,11:30,4.959195169700988,-1.51274966,6.000000192000004,-32.87177088,9.511218857778196,-0.363225266,0.6834394457721557,-1.1667225792012523,73.83671386,-7.846363652,2.8441753503868923,0.4685622720718177,,,,,,,,,,,,1.202924156038394,5.718366010182071,1.2754706293279297,50.000000000000064,4.805539873395027,-6.047943507,-119.0622843,-4.409039325,1.6872120503919792,27.737589372370305,-24.15351397,Normal Cornbelters,Lafayette Aviators 2025,,,,532a99cb-364f-4d27-8cac-bdf57743990e,dac2ec60-8f74-459a-8d82-11083c9de1f3,82.29197746307976,4.955706266335462,-1.516620185,-1.610379291,2.9595608389023043,74.02268449944422,0.6870695553780931,1.1695345215802273,-7.790057696,2.8870871745537223,0.4683585338643713,-0.802696251,7.580180168303294,73.15500087,75.28135717908529,621.1903686998446,2051.656972296645,28.97835591984068,-0.274415736,0.9570922049720724,0.093115602,,,,,,,,,,,,,,,,,0.9879886820476592,0.0,,,medium,high,22.246778538823225,4.733890447467598,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Slider,Breaking,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,,
9,10,6/3/25,6:35:15 PM,4,3,Graham Kasey,,Left,Normal cornbelters,Jimmy Janicki,,Right,Lafayette aviators 2025,,1,Top,2,1,1,Fastball,,Foul,,,,,,,87.04262160371228,1.8352964370500795,1.0930085535363023,,,,4.217970166199434,-1.405827865,6.000000192000004,,,,2.962512507755953,0.389869385,77.75590900004424,-4.916914658,1.0930085535362948,,,,,,,,,,,,,,,,,,,,,,,,Normal Cornbelters,Lafayette Aviators 2025,,,,532a99cb-364f-4d27-8cac-bdf57743990e,f1942eda-dfe4-448d-8952-128abcec2437,87.28530598496305,4.211960706501985,-1.405827865,1.9058609539028049,1.093008553536298,77.94203761201071,2.967744842147108,-0.389869385,-4.833343253,1.0930085535362983,0.4414071767988238,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,low,high,,,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Other,Other,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-2,,
10,11,6/3/25,6:35:42 PM,4,4,Graham Kasey,,Left,Normal cornbelters,Jimmy Janicki,,Right,Lafayette aviators 2025,,1,Top,2,1,2,Fastball,,Foul,,,,,,,88.92252181685724,-0.964797765,3.0420345344802566,2153.239627084248,137.54499193691396,10:30,5.0937676501149785,-2.564243545,6.000000192000004,-20.66188649,15.353673076113552,-11.23969027,2.473916553,0.670977201,79.62812998701139,-4.879875203,0.9091069434549522,0.4319332188493753,82.10325093306022,27.95925175326993,55.21421480866058,,90.11413292353188,63.08282688,39.01168924851387,246.24501873662552,,55.12152858535926,3.135510300123466,7.113540211,8.633741872,2.322729304226499,49.999999999999936,5.003101460432867,-6.497316323,-129.061679,-2.841014916,11.747043912835752,32.105683340719935,-17.91659944,Normal Cornbelters,Lafayette Aviators 2025,,,,532a99cb-364f-4d27-8cac-bdf57743990e,7a052263-2cd8-4d16-8bf4-2d7ffb39ac65,89.17621085531346,5.094877019933936,-2.570811081,-0.979182029,3.119786797115259,79.83257952544223,2.473831497320756,-0.666015918,-4.879963389,0.985401615771916,0.431749216660494,-11.97100621,14.232746492784608,35.003524955239314,88.18827838244817,1763.754649589276,1235.1560337455844,81.91167519880808,-0.604350583,0.5736268356802154,0.5529128562679906,59.560222523487546,41.37352235227575,38.49357550157481,0.001875431,-0.404467943,1.914088932218109,202.01123772930745,140.81217661720282,,,,,,,,,0.9936679565807558,0.0,,39.84674328415758,medium,high,10.630549455796606,-8.897144377,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Other,Other,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-2,,
11,12,6/3/25,6:36:10 PM,4,5,Graham Kasey,,Left,Normal cornbelters,Jimmy Janicki,,Right,Lafayette aviators 2025,,1,Top,2,1,2,Splitter,,BallCalled,,,,,,,77.87374379746308,0.8521355998248155,-0.388648707,1327.1688877962192,132.8997853314305,10:30,4.9053878073668695,-2.872294641,6.000000192000004,-35.93923891,11.013693687147686,-8.764968081,2.7024971345673783,3.963921874,69.79615285,-5.961582061,-2.055751251,0.4931770787336572,,,,,,,,,,,,4.609739110688762,5.665743195,2.909013615421312,49.99999999999999,4.954051916146967,1.0141908855622217,-113.1631271,0.6721675814850856,5.834855640861414,25.24657801972624,-25.00253882,Normal Cornbelters,Lafayette Aviators 2025,,,,532a99cb-364f-4d27-8cac-bdf57743990e,0d4957b5-646f-4fc8-9691-42848aec930c,78.10630931457692,4.902198230063607,-2.878853981,0.8880905849929601,-0.311171873,69.97442835858708,2.7059636991859257,-3.959076722,-5.907590465,-1.981263118,0.492952113,-9.492224252,8.891659568701215,45.144480133029255,19.26932514233436,936.080686008842,940.8135872825547,70.53214513,-0.480125095,0.7088876147818592,0.5166800193591551,,,,,,,,,,,,,,,,,0.9969984094362484,0.0,,,medium,high,107.34239262810094,24.30618896557314,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Splitter,Offspeed,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,,
12,13,6/3/25,6:36:36 PM,4,6,Graham Kasey,,Left,Normal cornbelters,Jimmy Janicki,,Right,Lafayette aviators 2025,,1,Top,2,2,2,Slider,,BallCalled,,,,,,,77.84132959327326,1.5680578116283166,-2.970937921,2094.2325651377987,272.40654592628016,3:00,5.025913389283224,-1.353811194,6.000000192000004,-45.58682686,1.5329385709039087,13.192879891047312,2.6866797890872443,3.018052704,69.80127908234371,-7.066139854,-0.463623988,0.4940524784658658,,,,,,,,,,,,-8.171951126,0.2853962185748411,1.5884033291275992,49.99999999999999,5.127507649403257,5.490971438038511,-112.9406632,1.815446160974896,-10.30844586,25.051630148524584,-31.81403869,Normal Cornbelters,Lafayette Aviators 2025,,,,532a99cb-364f-4d27-8cac-bdf57743990e,dd8ec51e-af3a-4321-91d1-2275acf5dde1,78.04046390781042,5.016400926542955,-1.352215333,1.679608338869574,-2.989567424,69.94009826923103,2.694737084804968,-3.019534189,-6.94330423,-0.486592945,0.4938650689166772,13.364284599790418,-1.240360798,56.44923768695845,65.43313980419852,1157.4311528742287,1745.3260908036293,55.267555864697904,0.0232067368395337,0.8333965003971697,-0.552188121,,,,,,,,,,,,,,,,,0.9974636725813192,0.0,,,medium,high,31.11017417622133,58.18660755196792,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Slider,Breaking,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,,
13,14,6/3/25,6:37:02 PM,4,7,Graham Kasey,,Left,Normal cornbelters,Jimmy Janicki,,Right,Lafayette aviators 2025,,1,Top,2,3,2,Fastball,,StrikeSwinging,Strikeout,,StrikeoutSwinging,1.0,0.0,,88.0267711,0.4400377785039916,-0.919571763,2044.868410798222,138.68964592388872,10:30,5.1667632242949,-0.012053276,6.000000192000004,-22.94910303,13.81860126801563,-10.33519586,3.663366922241608,1.72803721,78.65608591485842,-3.917330706,-2.884589898,0.4364201352758043,,,,,,,,,,,,5.274159795526167,7.327994361264629,0.092928093,50.000000000000014,5.189366269756323,2.381531684230382,-127.9088712,0.2531275364796337,8.523947118,32.39675288967971,-20.33075343,Normal Cornbelters,Lafayette Aviators 2025,,,,532a99cb-364f-4d27-8cac-bdf57743990e,6549bbb5-94ad-4000-b90f-679d3f2baf17,88.28314232524366,5.167114032489926,-0.018566853,0.4345226469039372,-0.842292139,78.86275429028547,3.663925925751889,-1.723150825,-3.907732888,-2.808686562,0.4362242277424948,-11.06047851,12.457278093658228,39.15227378036186,47.15097915411624,1585.735504171818,1291.0963280442695,77.54706834914722,-0.582490811,0.6313835752102431,0.5119172164157381,,,,,,,,,,,,,,,,,0.9968409096639704,0.0,,,medium,high,47.56411876129536,-70.76496813,54.667001749344,Charlie Graham,,Normal cornbelters,2022-11,Other,Other,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-2,,
14,15,6/3/25,6:39:51 PM,1,1,Wesley Culley,,Left,Lafayette aviators 2025,Shea Zbrozek,,Right,Normal cornbelters,,1,Bottom,0,0,0,Fastball,,BallCalled,,,,,,,86.16088245248332,-0.138930145,-0.750737532,2077.9122056154374,121.83848909885056,10:00,5.303296679859839,0.0103324321955086,6.000000192000004,-25.45432597,12.953626317434964,-17.51637837,3.0529706051951786,2.147136484,77.12464525977668,-4.961820506,-4.079989287,0.4460485163565548,,,,,,,,,,,,9.221534729,7.064454191177635,0.0609231083344268,49.99999999999994,5.277300614444088,2.184993324664941,-125.1975282,-1.094792929,14.26348520847983,31.27781834221888,-21.24704656,Normal Cornbelters,Lafayette Aviators 2025,,,,532a99cb-364f-4d27-8cac-bdf57743990e,d5eb629e-821f-43a7-87ba-728a4a0541eb,86.39172704222696,5.302611124607887,0.001623284,-0.131964699,-0.646108931,77.30661337,3.054290638435895,-2.140315443,-4.941261215,-3.975756596,0.4458632602211712,-18.49708368,11.3943202,12.019768639026038,73.28473699876751,2032.3556569691425,432.72348888306976,97.80758068010856,-0.515961007,0.2082491684266831,0.8309130661536163,,,,,,,,,,,,,,,,,0.9960081276420822,0.0,,,medium,high,24.04373670110921,-24.19336186,54.667001749344,Jimmy Janicki,,Lafayette aviators 2025,2022-11,Other,Other,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,,
15,16,6/3/25,6:40:02 PM,1,2,Wesley Culley,,Left,Lafayette aviators 2025,Shea Zbrozek,,Right,Normal cornbelters,,1,Bottom,0,1,0,Fastball,,StrikeCalled,,,,,,,86.98736835602072,-0.502543858,0.6809509343217822,2102.540957452161,123.32746815238797,10:00,5.511130605165381,-0.570993409,6.000000192000004,-24.20665663,13.412043931077925,-17.08580174,3.026803068425289,1.361909003,77.90025072914845,-5.089932568,-2.568283808,0.4414417627742831,,,,,,,,,,,,9.485521808025798,7.434859960408182,0.5253926110713169,50.00000000000001,5.456210977630776,-0.965418843,-126.4121444,-1.869734944,14.986600777634044,31.439502930735703,-20.42738131,Normal Cornbelters,Lafayette Aviators 2025,,,,532a99cb-364f-4d27-8cac-bdf57743990e,45a2c6c1-2b12-4aae-a787-3cdaefaa4b7a,87.22025902956179,5.510803179994502,-0.579516599,-0.499864357,0.7831251827601109,78.08457414,3.027802674434076,-1.355309763,-5.073956103,-2.466625798,0.4412619669633828,-18.04404006,11.989417477308656,13.477528767869066,74.67906654951109,2044.6399265917248,490.0265792289592,97.246140168865,-0.534293097,0.2330639874063469,0.8125343462687772,,,,,,,,,,,,,,,,,0.9920339452906304,0.0,,,medium,high,22.78884010544004,-32.44452046,54.667001749344,Jimmy Janicki,,Lafayette aviators 2025,2022-11,Other,Other,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,
16,17,6/3/25,6:40:13 PM,1,3,Wesley Culley,,Left,Lafayette aviators 2025,Shea Zbrozek,,Right,Normal cornbelters,,1,Bottom,0,1,1,Changeup,,StrikeCalled,,,,,,,80.72885747534748,1.2405443601450128,0.7860756818477128,1680.322785304851,101.76353480489722,9:30,5.1899585434509685,-0.756477761,6.000000192000004,-37.30244502,6.453339083,-19.02301051,3.234664113469405,1.61110911,72.28176250155379,-5.834798579,-2.833895636,0.4760902174936317,,,,,,,,,,,,10.57797572911719,3.0581876495215154,0.70341784,49.99999999999999,5.269513692579848,-1.055061676,-117.2794861,1.453444134500982,14.363268969212136,27.36539532936129,-28.02149971,Normal Cornbelters,Lafayette Aviators 2025,,,,532a99cb-364f-4d27-8cac-bdf57743990e,9c4f11b6-2d91-4a79-bed7-ecdb78983586,80.93480567477671,5.184206843735344,-0.764167802,1.3079650206975024,0.8778307614662708,72.43218753612558,3.2398587622826893,-1.605087851,-5.755388078,-2.741634382,0.4759076253956648,-19.88200996,4.147622792387502,-15.18239005,40.48215781834725,1621.674533785765,-440.0640513,96.50970325273272,-0.196757249,-0.261892569,0.9448274272100544,,,,,,,,,,,,,,,,,0.9971896071836992,0.0,,,medium,high,53.56605796348748,67.04366459,54.667001749344,Jimmy Janicki,,Lafayette aviators 2025,2022-11,Changeup,Offspeed,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,
